Debian name	Debian flag	Arch name	Arch flag	         p - pacstall, a - AUR, n - Nix, x - skip

		base		
		base-devel		
		linux		
		linux-firmware		
		grub		
		efibootmgr		
		networkmanager		

git				
curl				
wget				
vim				
neovim	p			
libsqlite3-dev			x	Needed for telescope-smart-history to work properly
openssh-client		openssh		
man-db				
		man-pages		
mlocate				
zsh				
dash				
cronie				

ufw				

xorg				group
xdotool				
wmctrl				
wmutils	p	wmutils-git	a	
wmname				
xdo				

lightdm				
lightdm-gtk-greeter				

awesome-git	p		a	
dunst				
betterlockscreen	p		a	
picom				
arandr				
autorandr				
lxsession				

## Themes ##				
lxappearance				
arc-gruvbox-gtk-theme-git	p	gtk-theme-arc-gruvbox-git	a	
papirus-icon-theme				
qt5ct				
adwaita-qt6			x	

## Fonts ##				

fonts-noto		noto-fonts		
fonts-font-awesome		otf-font-awesome		
nerdfonts	x	nerd-fonts-complete	a	
nerd-fonts-jetbrains-mono	p	ttf-jetbrains-mono-nerd		
nerd-fonts-fira-code	p	ttf-firacode-nerd		
nerd-fonts-fira-mono	p	otf-firamono-nerd		
font-manager				

fonts-noto-color-emoji		noto-fonts-emoji		provides emojis for terminal and polybar

## Keyboard ##				
keyd	p		a	
xkblayout-state-git	p		a	
inputplug			a	

## Audio ##				
pipewire-audio			x	
pulseaudio	x			
	x	pulseaudio-alsa		
pulseaudio-module-bluetooth	x	pulseaudio-bluetooth		
volctl	p		a	
pulsemixer				Pulse Audio TUI
pavucontrol				Pulse Audio Volume Control GUI
pamixer				Pulse Audio CLI
playerctl				

bluez				
		bluez-utils		
blueman				Blueman is a GUI for bluez

budgie-network-manager-applet		network-manager-applet		
gnome-keyring				Should start systemd service automatically

xfce4-power-manager				
mate-system-monitor				
bottom-deb	p	bottom		
conky				
udiskie				

caja				
xarchiver				
lf-bin	p	lf	a	
ueberzug				

trash-cli				

dmenu				
rofi				
rofi-calc	p			
frece-bin	p	frece	a	

clipmenu-git	p		a	

libinput-gestures	x		a	

feh				
nsxiv			a	
libimage-exiftool-perl		perl-image-exiftool		
mediainfo				
zathura				
		zathura-pdf-mupdf		Mupdf is not in apt, poppler installed as dep of zathura
zathura-djvu				
pandoc				
flameshot				
scrot				
mpv				
mpvc-git	x		x	Vendored, check diff
mpd				
mpc				
ncmpcpp				
mpdris2			a	

alacritty				
kitty				
tmux				

xclip				
powertop				
auto-cpufreq	p		a	Is in pacstall, but install requires user interaction
brightnessctl				

newsboat				
urlscan				

## Useful CLI utils ##				

ffmpeg				
ffmpegthumbnailer				
imagemagick				
lynx				

jq				
tree				
speedtest-cli				
colordiff				
fzf				
fd-deb	p	fd		or fd-find from apt but need to link manually
bat				
yt-dlp				
ytfzf			a	
ripgrep				
thefuck				
zoxide-deb	p	zoxide		
atool			a	
unzip				
zip				
p7zip				
massren	x		x	
moreutils				Provides vidir packages for mass renaming
fdupes				
dragon-drop	p		a	
handlr-bin	p	handlr		
libfile-mimeinfo-perl		perl-file-mimeinfo		
selectdefaultapplication	x	selectdefaultapplication-git	a	
neofetch				
onefetch-bin	p	onefetch		
unclutter				
dua-cli-bin	p	dua-cli		
uglify-js	x			
entr				
jira-cli-bin	x		a	
tokei	x			
pass				
		downgrade		Downgrade pacman packages

## Programming tools ##				
nodejs				System version of node
fnm-bin	p		a	
yarn				
httpie				
tig				
lazygit	p			
github-cli	x			
zeal			a	

vscodium-deb	p	vscodium-bin	a	

tealdeer				
shellcheck				

## Applications ##				
timeshift				
safeeyes			a	
activitywatch-bin	x		a	
xprintidle				
redshift				
redshift-gtk	x		x	

firefox-bin	p	firefox		
brave-browser-deb	p	brave-bin	a	
surf			a	

libreoffice		libreoffice-still		
protonvpn-gui	x	protonvpn		
kazam			a	
simplescreenrecorder				
goldendict		goldendict-git		
telegram-bin	p	telegram-desktop		
qbittorrent				
webcamoid			a	
monero-gui	x			
freetube-bin	x			

## Work Apps ##				
skypeforlinux-stable-bin	x		x	
slack-deb	x	slack-desktop	x	
zoom-deb	x	zoom	x	
google-chrome-deb	x		x	

syncthing				

spotify-client-deb	p	spotify	a	
